2;2;;
Maior tempo de pesquisa bibliográfica e escrita devido não estar trabalhando e término do mestrado  no tempo previsto por mim. ;Tirar dúvidas pessoalmente com os professores e não ter contato (físico) com os colegas da pós-graduação.;;
1. Não atrasar o calendário acadêmico ;1. Nem todos os alunos têm acesso a uma internet de qualidade. 2. Nem todos os professores estão preparados para lidar com essas ferramentas. 3. As discussões nas disciplinas e a interação ficam prejudicadas. ;O fato de estar isolada com meus pais atrapalha muito a escritura da tese, pois há muito barulho e movimento na casa, o que dificulta muito a concentração. ;
Manter as atividades de ensino e aprendizagem e pesquisa é importante devido ao contexto atual de isolamento social.;Qualidade da aprendizagem, pois totalmente EAD, no meu caso, é afetada.;Tenho dificuldade com acesso a material próprio para acessar, o celular é a ferramenta que possuo e o ambiente não é propício pois tem muito barulho etc .;
Troca de experiências;"Ansiedade;
Não conseguir corresponder aos prazos;
Não ter acesso à internet no horário das atividades";Não;O questionário é uma boa forma de diálogo com os estudantes.
"Início-continuidade dos estudos; diminuição da ansiedade em relação ao início-continuidade do curso; complemento-adequação ao contexto mediante incertezas em relação ao retorno presencial. ";Não consigo pensar em nenhuma no momento. Acho que os ganhos são maiores.;Tenho as ferramentas necessárias e um ambiente favorável.;Penso que deveríamos iniciar aulas para cumprimento de créditos, posto que não sabemos quando serão possíveis as aulas presenciais. Provavelmente não tão logo. Então, tentar as aulas-atividades on line seria uma boa ação.  
1 - Continuação do calendário acadêmico. 2 - Não haverá atrasos com os prazos estabelecidos para a conclusão do curso. (Cumprimento de créditos/qualificações e defesas);1 - Compreensão dos conteúdos das disciplinas uma vez que o contexto EAD não supre 100% as necessidades de comunicação entre discente e docente. 2 - A MINHA pesquisa continuará (com ou sem aula ead) parada uma vez que a coleta de dados é feita em campo. ;;
O não atraso do tempo de qualificação e ou defesa;"O calendário seria mantido, mas as pesquisas não teriam seu tempo de coleta de dados alcançado como proposto ao desenvolvimento da pesquisa.
Alguns docentes não possuem a formação ou experiência com a EAD.";;
"Manutenção do calendário; Continuidade da pesquisa; Manutenção do vínculo com o programa";"Acompanhamento adequado das atividades; Desenvolvimento adequado da dissertação; Situação financeira e de equipamentos para dar continuidade às aulas";Não tenho condições de realizar as aulas em minha casa por falta de estrutura adequada e silêncio, pois tenho criança pequena e ausência de silêncio e equipamentos;
"1. Dar continuidade a pesquisa, principalmente a redação e o embasamento teórico;
2. Dar continuidade ao processo de orientação e acompanhamento docente-discente;
3. Dar continuidade ao processo ensino-aprendizagem e a qualificação/defesa da dissertação.";"1. Coleta dos dados para a minha pesquisa;
2. ----
3. ----";Tenho condições satisfatórias para dar continuidade teórica e bibliográfica a pesquisa. Porém, a coleta de dados está em vias de comprometimento, diante do isolamento social provocado pelo Covid19.;Questionário muito pertinente às novas diretrizes e orientações que os programas de graduação e pós graduação devem tomar frente a pandemia, principalmente no que diz respeito a pesquisas desenvolvidas em ambientes físicos.
"Não atraso dos Cursos;
Fortalecimento das práticas pedagógicas mediadas pela EaD e
Continuidade das pesquisas mediadas pelas TIC, aumentando o que já utilizamos há anos e utilizando dos meios possíveis que as TIC nos favorecem.";Não enxergo perdas, perdas teremos se pararmos.;Possuo internet de boa qualidade, tempo e compromisso com as atividades, pois continuo fazendo minhas pesquisas e realizando meus trabalhos. Inclusive minha orientação continua a todo vapor.;
Manutenção do calendário acadêmico, acesso a novas tecnologias e desenvolvimento pessoal no uso das tecnologias ;Limitação no uso das tecnologias, dificuldades na aprendizagem ;Espaço adequado Conforme questão anterior! ;
